판매사,상품명,정산단가(개당)
꿈꾸는이웃(산지로드),호두품은대추500g,11000.0
꿈꾸는이웃(산지로드),홍주부더진한딸기요거트1L,5900.0
꿈꾸는이웃(산지로드),홍주부더진한블루베리요거트1L,6100.0
꿈꾸는이웃(산지로드),홍주부더진한플레인요거트1L,5700.0
꿈꾸는이웃(산지로드),홍주부참기름350mlX2개,12900.0
산지로드 LG 복지몰,홍주부CCA주스100mlX30포,12933.2
산지로드 LG 복지몰,홍주부참기름350mlX2개,12065.2
산지로드 케이딜,[재니유]갈비살200gX5팩,27797.0
산지로드 케이딜,[재니유]토시살200gx5,26644.5
산지로드 케이딜,[재니유]흑돼지왕구이1kgX2개,19004.5
산지로드 케이딜,소고기모듬(안창+토시+살치+갈비+우삼겹)1kg,28618.0
산지로드 케이딜,홍주부참기름350mlX2개,12319.5
산지로드 홈앤쇼핑,(25년)홍주부햇고춧가루1kg,22372.0
산지로드 홈앤쇼핑,[광평]조생 햇양파 10kg(일반/중대혼합),14212.0
산지로드 홈앤쇼핑,[소담] 홍주부김부각 40g X11,21692.0
산지로드 홈앤쇼핑,[해담별]메밀소바1kg+메밀장6봉/2세트,11492.0
산지로드 홈앤쇼핑,[홍주부]열무김치5kg,18972.0
산지로드 홈앤쇼핑,[홍주부]오이소박이2kg,14212.0
산지로드 홈앤쇼핑,가리비순두부찌개1kgX3개,17612.0
산지로드 홈앤쇼핑,수제두부과자110gX10팩,14212.0
산지로드 홈앤쇼핑,참담참기름350mlX2개,12172.0
산지로드 홈앤쇼핑,콩쑥개떡1.8kg,14212.0
제트언스(산지로드),[재니유]갈비살200g,4700.0
제트언스(산지로드),[재니유]갈비살200gX3팩,14100.0
제트언스(산지로드),[재니유]갈비살200gX5팩,23500.0
